Id,POST_ID,Type,MainType,Network,Pack_Name,ONNET_CALLS_BASERATE,ONNET_CALLS_TAX,Calls_Ptcl_BaseRate, Calls_Ptcl_Tax,Call_FNF_Numbers,Calls_FNF_BaseRate,Calls_FNF_Tax,OFFNET_CALLS_BASERATE,OFFNET_CALLS_TAX,ONNET_SMS_BASERATE,ONNET_SMS_TAX,OFFNET_SMS_BASERATE,OFFNET_SMS_TAX,Intl_SMS_BaseRate,Intl_SMS_Tax,MMS_50KB,Data_MB,Incentives_Total_Min,Incentives_Fnf_Min,Incentivces_OnNet_Min,Incentivces_OffNet_Min,Incentivces_Ptcl_Min ,Incentivces_2G3G_Min,SMS_LocalNet,Line_Rent,SMS_Line_Rent,Security_Deposit_NWD,Security_Deposit_ISD,Security_Deposit_IR,NOTES,STATUS,CreatedDate,CreatedBy,URL,Remarks,Machine_Name,ISMS_MainCategory_ID,ONNET_CALLS_2NDPULSE,OFFNET_CALLS_2NDPULSE,ONNET_SMS_2NDPULSE,OFFNET_SMS_2NDPULSE,Intl_SMS_2ndPulse,FNF_Numbers,FNF_BaseRate,FNF_Tax,FNF_2ndPulse,CALLS_PULSE_R,SETUP_CALLS_CHARGES,GPRS_MB,DAILYCHARGES,IMPORTANT_P,USSD_String,ViewType,ModifiedBy,ModifiedDate,Files,Videos,Complaints,Offers,DataOffers,IDDOffers,Workcode,UpdateNotes,MainHeader,NotifyDomain,PKGStatus,ExpiredFrom,Emails,SUB_MEDIUM,UNSUB_MEDIUM ,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Prepaid,Packages,Jazz,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,58:25.3,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,BackEndTeam,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Prepaid,Packages,Warid,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,58:25.3,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,BackEndTeam,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Prepaid,Packages,Jazz,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,58:25.3,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,CallCenter,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Prepaid,Packages,Warid,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,58:25.3,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,CallCenter,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Prepaid,Packages,Jazz,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,58:25.4,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,ExperienceCenter,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Prepaid,Packages,Warid,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,58:25.4,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,ExperienceCenter,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,Prepaid,Packages,Jazz,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,58:25.4,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,Franchise,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Prepaid,Packages,Warid,Jazz Budget,Rs.3.50/60 sec (Incl. Tax) ,Rs.3.50/60 sec (Incl. Tax),NULL,NULL,NULL,NULL,NULL,Rs.3.50/60 sec (Incl. Tax),Rs.3.50/60 sec (Incl. Tax),2.09+tax/sms,2.5/sms,2.09+tax/sms,2.5/sms,Rs.10+tax/sms,Rs. 11.98/sms,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,E,58:25.4,taimoor.agha,~/Package/,NULL,NULL,NULL,-,-,-,-,-,Rs. 0.60 / 30 Seconds,2.99 / 60s,Rs. 0.60 / 30 Seconds,2.99 / 60s,60,Rs. 0.15,Rs. 5/MB.,0,"<p>&nbsp;</p>  <ul> 	<li>Direct USSD: *301# <strong>(string is disabled effective from 9th june, 2023)</strong></li> 	<li>Package Conversion Charges: Rs. 15 + Tax</li> 	<li>Note: 1st time package plan conversion is free</li> </ul>  <p>&nbsp;</p> ",*301# ,Franchise,anum.khan3,39:20.2,CopyofBook1(004)637151213160085904.xlsx,ExpiryUpdate637151213869592960.mp4,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 		<tr> 			<td dir=""LTR"">Jazz Budget - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 	</tbody> </table> ",NULL,B2C,CC - GSM JAZZ,Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,Prepaid,Packages,Jazz,Champion Package,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,NULL,NULL,NULL,NULL,NULL,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,-,Rs. 10/SMS + Tax,Rs 11.95 incl. tax,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A,22:21.4,taimoor.agha,~/Package/,NULL,NULL,2456,-,-,-,-,-,-,-,-,-,Per Minute,Rs 0.15,Rs. 5/MB,-,"<p>&bull;&nbsp;&nbsp; &nbsp;All MNP &amp; new sales will get Jazz Champion&rsquo;s by default<br /> &bull;&nbsp;&nbsp; &nbsp;Other package subscribers can migrate to Jazz Champions by dialing *337#<br /> &bull;&nbsp;&nbsp; &nbsp;Call set up fee Rs. 0.15 is applicable<br /> &bull;&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc<br /> &bull;&nbsp;&nbsp; &nbsp;If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB</p>  <p>Customer can avail this bundle from our self-service channels i.e., 3111 Self-Service IVR.</p> ",*337#,BackEndTeam,usman.javed1,29:17.5,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Complaints - Wrong/Over Charging</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,B2C,"CC - GSM JAZZ,CE Team,CP,FRA - ALL,Business centers,EC - Managers,MKT - Segments,Jazz Q&T",Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,Prepaid,Packages,Jazz,Champion Package,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,NULL,NULL,NULL,NULL,NULL,Rs 3.50/Minute Incl Tax,Rs 3.50/Minute Incl Tax,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,Rs 2.5/SMS Incl Tax,-,Rs. 10/SMS + Tax,Rs 11.95 incl. tax,-,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,D,22:21.6,taimoor.agha,~/Package/,NULL,NULL,2456,-,-,-,-,-,-,-,-,-,Per Minute,Rs 0.15,Rs. 5/MB,-,"<p>&bull;&nbsp;&nbsp; &nbsp;All MNP &amp; new sales will get Jazz Champion&rsquo;s by default<br /> &bull;&nbsp;&nbsp; &nbsp;Other package subscribers can migrate to Jazz Champions by dialing *337#<br /> &bull;&nbsp;&nbsp; &nbsp;Call set up fee Rs. 0.15 is applicable<br /> &bull;&nbsp;&nbsp; &nbsp;Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/3G/4G site etc<br /> &bull;&nbsp;&nbsp; &nbsp;If you are not subscribed to any data bundle, base rate will be charged i.e. Rs.5/MB. Charging Pulse will be 512 KB</p>  <p>Customer can avail this bundle from our self-service channels i.e., 3111 Self-Service IVR.</p> ",*337#,CallCenter,muhammad.zaid,17:20.2,NULL,NULL,NULL,NULL,NULL,NULL,"<table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""width:941px""> 	<tbody> 		<tr> 			<td dir=""LTR"">Description</td> 			<td dir=""LTR"">Category</td> 			<td dir=""LTR"">Area</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Information</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Information</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Activation</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Activation</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Complaints - Incentive Issue</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Incentive Issue</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Complaints - Wrong/Over Charging</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - Wrong/Over Charging</td> 		</tr> 		<tr> 			<td dir=""LTR"">Champion Package - Base - Default - Complaints - General</td> 			<td dir=""LTR"">Prepaid Offers/Bundles</td> 			<td dir=""LTR"">Complaints - General</td> 		</tr> 	</tbody> </table> ",NULL,B2C,"CC - GSM JAZZ,CE Team,CP,FRA - ALL,Business centers,EC - Managers,MKT - Segments,Jazz Q&T",Active,NULL,NULL,NULL,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,
