id,d_id,viewtype,network,category,data_type,consumable_data,charges,data_name,incentive,validity,time_window,recursive,prorated,deposite,subscription,unsubscription,status_string,offer_status,offer_detail,isms_maincategory_id,description,ussd_string,packagesids,citiesids,status,faqs,baserate,prioritytable,workcode,updatenotes,mainheader,notifydomain,dostatus
8,2,CallCenter,Jazz,Postpaid,10,1 GB,Rs.272.88 [Excl Tax],1 GB Add-On,1 GB,30 days,24,No,Advanced and non recursive,-,*446#,-,-,Active,"Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code",2717,1 GB add on only for 30 days,*446#,0,nan,A,nan,2.39/MB,nan,1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging 1 GB Add On - Data - Monthly - Complaints - General 1 GB Add On - Data - Monthly - Activation 1 GB Add On - Data - Monthly - Information 1 GB Add On - Data - Monthly - Complaints - Incentive Issue,Revision in price,B2C,CC - GSM JAZZ,Active
18,3,CallCenter,Jazz,Postpaid,10,1 GB,Rs.363.83 [Excl Tax],Data Add-On 1,1 GB,30 DAYS,24,No,Advanced,-,*446#,-,-,-,"Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code",nan,1 GB,*446#,0,nan,A,nan,2.39+Tax/MB,nan,1 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging 1 GB Add On - Data - Monthly - Complaints - General 1 GB Add On - Data - Monthly - Activation 1 GB Add On - Data - Monthly - Information 1 GB Add On - Data - Monthly - Complaints - Incentive Issue,WCs are updated,B2C,CC - RTG,Active
22,4,CallCenter,Jazz,Postpaid,10,2GB,Rs.436.6 [Excl Tax],Data Add-On 2,2000,30,24,No,Advanced,-,*446#,-,*2222#,-,"Customer can avail this bundle from our self-service channels i.e.,WhatsApp 03003008000, *446# Dial Code",nan,2GB,*446#,0,nan,A,nan,2.39+Tax/MB,nan,Description Category Area 2000 MB Add On - Data - Monthly - Activation Postpaid Offers/Bundles Activation 2000 MB Add On - Data - Monthly - Information Postpaid Offers/Bundles Information 2000 MB Add On - Data - Monthly - Complaints - Incentive Issue Postpaid Offers/Bundles Complaints - Incentive Issue 2000 MB Add On - Data - Monthly - Complaints - Wrong/Over Charging Postpaid Offers/Bundles Complaints - Wrong/Over Charging 2000 MB Add On - Data - Monthly - Complaints - General Postpaid Offers/Bundles Complaints - General,WCs are updated,B2C,CC - RTG,Active
26,5,CallCenter,Jazz,Postpaid,10,4 GB,Rs.582.14 [Excl Tax],4 GB Add-On,4 GB,30,24,No,Advance and non recursive,-,*446#,-,*1111#,-,nan,4970,4 GB Add-On only for 30 days,*446#,0,nan,A,nan,2.39+Tax/MB,nan,4 GB Add On - Data - Monthly - Complaints - Wrong/Over Charging 4 GB Add On - Data - Monthly - Complaints - General 4 GB Add On - Data - Monthly - Activation 4 GB Add On - Data - Monthly - Information 4 GB Add On - Data - Monthly - Complaints - Incentive Issue,revision in price,B2C,CC - GSM JAZZ,Active
47,9,CallCenter,Jazz,Postpaid,10,4x Data,as per package,4x Data Bundle,as per package,12 months,24,Yes,Advanced and Prorated,-,-,-,-,nan,nan,nan,4 Times Data Offer is for all new Postpaid customers will get four times their package data incentives for 12 months.,-,0,2778,A,nan,2.39+Tax/MB,nan,nan,nan,B2C,nan,Active
55,102,CallCenter,Jazz,Prepaid,9,30 GB,"PKR 1305 (Incl Tax), Recharge Required PKR 1500",MBB Monthly Basic,30GB (24 hours),30,24 hours,No,No,na,*117*71#,*117*71*4#,*117*71*2#,Live,"Important guidelines: The offer is now available for acquisition through BVS In case of multiple subscriptions, incentives will add up and validity will be set as new Rest of the bundle mechanics will remain as is For Software and Device settings upgrade just press the “Update” Tab in the Home Screen (http://192.168.8.1) Offer can be subscribed via Jazzcash app and Jazzworld and BVS For Software and Device settings upgrade just press the “Update” Tab in the Home Screen (http://192.168.8.1) No sale return available for Wi-Fi Device and needs to guide customers upfront The default username/Password is admin/admin (which can also be customized to restrict access)",3597,All bundles are once off & will not auto subscribe Multiple & simultaneous subscriptions are both allowed,*117*71#,0,nan,A,na,-,nan,nan,Price and incentive revision effective from 16/11/2022,B2C,CC - GSM JAZZ,Active
79,191,CallCenter,Jazz,Prepaid,9,60 GB flat,"2173.91 (inc tax), Recharge required Rs 2500",Monthly Regular *117*73#,60 GB flat,30 Days,24hrs,No,No,-,*117*73#,*117*73*4#,*117*73*2#,active,"CRM name: Monthly Internet - Regular Monthly Regular MBB Bundle has been removed from BVS menu for MBB’s New Sale only. This bundle is still available on other mediums and on *964# menu. Retailers can subscribe this bundle to existing customers For Software and Device settings upgrade just press the “Update” Tab in the Home Screen (http://192.168.8.1) No sale return available for Wi-Fi Device and needs to guide customers upfront The default username/Password is admin/admin (which can also be customized to restrict access) monthly Broadband Data bundles will be available for 4G Wi-Fi devices & data sims This bundle is non-recursive and customers have to dial *117*73# again to avail the bundle more than once PAYG & Overage charging is not allowed on MBB SIM & Data SIM , customers need to subscribe bundles for uninterrupted internet connectivity Multi-subscription is allowed, incentive will add-up and validities will renew as per last subscription Actual Internet speed will depend on multiple factors like device, web pages accessed, time of day, number of simultaneous users, distance from site etc .",nan,customer will get 60 GB flat for 30 days,*117*73#,0,nan,A,nan,Rs.5/MB,nan,Description Category Area Monthly Regular 30 GB (x2) - Data - Monthly - Activation Dongle Wingle Offers/Bundles Activation Monthly Regular 30 GB (x2) - Data - Monthly - Information Dongle Wingle Offers/Bundles Information Monthly Regular 30 GB (x2) - Data - Monthly - Complaints - Incentive Issue Dongle Wingle Offers/Bundles Complaints - Incentive Issue Monthly Regular 30 GB (x2) - Data - Monthly - Complaints - Wrong/Over Charging Dongle Wingle Offers/Bundles Complaints - Wrong/Over Charging Monthly Regular 30 GB (x2) - Data - Monthly - Complaints - General Dongle Wingle Offers/Bundles Complaints - General,WCs are updated,B2C,"CP,FRA - ALL,FSE groups",Active
94,15,CallCenter,Jazz,Prepaid,10,5 GB (4G only) 100 MBs (2G),Rs.0,5GB CVM 4G Only Data Bundle,5 GB (4G only) 100 MBs (2G),X+6days,24 hours,No,No,nan,nan,nan,*671*2#,*671*2#,Mechanics & Offer Details: •    This is a 4G only CVM provisioned bundle which will be offered to selected prepaid customer base only •    This bundle consists of 5 GB of 4G only internet and 100 MBs of 2G (to avoid bill shock) •    Bundle subscription free of cost and its valid for X+6days •    Bundle will be pushed on selected base from Backend •    To check remaining MBs and validity customer need to dial USSD code *671*2# (charges Rs.0.06) Important Points: •    We need to positively guide customer regarding this offer mechanics where inquired •    This bundle can be checked through CSR TB (consumption tab) and MINSAT for customers respectively. Please refer to attached document for better customer facilitation/handling •    Offer will be targeted to selected customer base and its visibility will also be available at Campaigns Touch Point Visibility portal •    Different campaigns will have different messages that will be available on Campaigns Touch Point Visibility portal for this offer promotion •    We need to handle customer upfront where customer calls for any adjustment of data usage since it’s a free bundle and 100MB is already added to bundle mechanics for avoiding bill shock,nan,"In order to increase our 4G data usage base, we will be offering a bundle 5GB CVM 4G Only Trial Bundle (Weekly) to our selected prepaid customers.",nan,0,nan,A,nan,5/MB,nan,Description Category Area 5GB CVM 4G Only Trial Bundle (Weekly) - Data - Weekly - Activation Prepaid Offers/Bundles Activation 5GB CVM 4G Only Trial Bundle (Weekly) - Data - Weekly - Information Prepaid Offers/Bundles Information 5GB CVM 4G Only Trial Bundle (Weekly) - Data - Weekly - Complaints - Incentive Issue Prepaid Offers/Bundles Complaints - Incentive Issue 5GB CVM 4G Only Trial Bundle (Weekly) - Data - Weekly - Complaints - Wrong/Over Charging Prepaid Offers/Bundles Complaints - Wrong/Over Charging 5GB CVM 4G Only Trial Bundle (Weekly) - Data - Weekly - Complaints - General Prepaid Offers/Bundles Complaints - General,WCs are updated,B2C,CC - GSM JAZZ,Active
130,20,CallCenter,Jazz,Prepaid,9,70 GB,Rs.1043.47,MBB Welcome Back Offer,70 GB,30 days (Child Offer),24 hours,No,No,nan,*6363*8#,nan,*6363*8*2#,active,"Rs1045 Recharge Usage & Subscription Notifications •    Customer can subscribe welcome back offer by dialing *6363*8# from Jazz WiFi Device App or 192.1681.1.1 portal (USSD section) •    Offer availing customer can check usage by dialing *6363# and going to option 4 •    6363 Menu is accessible from Device & Jazz Dongle SIM •    Offer usage threshold notifications will be sent to MBB nos. and OCN (all OMOs) •    Customer can avail this offer multiple times during 90days, incentive would be added and latest validity would be applicable •    Only Eligible Customers will be notified to subscribe the offer on both MBB and OCN number o    As soon as customer become part of churn pool base, a trigger notification SMS will be sent to the customer •    Welcome Back Offer is a once-off, and will not recur automatically. Subscription from customer would be required to avail this offer again •    Bundle benefits are valid for 30days only, and will add on multiple subscriptions •    Data allowance can be used on both 2G/3G/4G network subject to handset and network coverage •    Data allowance can be used on new and existing Jazz WIFI/Wingle devices •    Complaint handling will be as existing updated in Mobics under  Quick Help(MBB Dongle Complaint Handling)",4644,"Eligible Customers •	All dormant customers can subscribe to this offer if they have not used Dongle sim from 26th October-2018 or before •	Customer can check eligibility by dialing *6363# and going to option 4 •	Welcome back offer subscription details will be displayed only to eligible customers •	This offer is only available for MBB SIM (SC-62) customers, and not valid for Data Sim (SC18) customers; 90Day churn pool will keep on updating from back end",nan,0,nan,A,nan,Nill,nan,MBB Welcome Back Offer - Data - Monthly - Activation MBB Welcome Back Offer - Data - Monthly - Information MBB Welcome Back Offer - Data - Monthly - Complaints - Incentive Issue MBB Welcome Back Offer - Data - Monthly - Complaints - Wrong/Over Charging MBB Welcome Back Offer - Data - Monthly - Complaints - General,Work Code addition,B2C,"CC - GSM JAZZ,CC - RTG,CC - CFL,CC - QA,DFS - Helpline",Active
140,23,CallCenter,Jazz,Prepaid,10,300 MB (2G/4G),99 paisa,99 paisa offer,300 MB (2G/4G),1 days,nan,No,No,nan,*1301#,*1300*4#,*1300*2#,active,"Terms and Conditions: •    Overage of Re.2.25/MB applies for all mobile internet bundles •    Internet offer can be subscribed and consumed in 2G/4G networks areas •    To check remaining MB’s and validity, dial bundle status String (FOC) •    Bundles will not auto-subscribe and need to be subscribed again upon expiry •    Bundle can be subscribed only once in 24 hours •    Maximum number of subscriptions are 30 in customer’s lifetime until and unless it is made available for the customer again •    Actual internet speed will depend on multiple factors like sim, device, web pages accessed, time of day, number of simultaneous users, distance from 2G/4G site etc •    If you are not subscribed to any bundle base rate will be charged i.e. Rs. 3.6/ MB. Charging pulse will be 512 KB",4207,Maximum number of subscriptions are 30 in customer’s lifetime until and unless it is made available for the customer again,nan,0,nan,A,For 99 paisa whitelisted customers can get 300MB for 0ne day,1/MB,nan,BTL Promo for DATA,99 paisa offer,B2C,"CC - GSM JAZZ,CC - CFL,CC - QA,CE VMT,CP,FRA - ALL",Active
